data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,2313,2313,N,Aircraft,Ice Patrol,Visual,51.36666667,-52.96666667,1948,1948,February,2/6/48,,Growler,,1,,,,,,,,,,,,,,,,,,,,Small growler
IOT,1,2314.01,2314.01,N,Ship,USCGC Sorrel,Visual,60.68333333,-46.55,1948,1948,February,2/19/48,,Growler,,x,,,,,,,,,,,,,,,,,,,,Scattered growlers Simiutak to Narsak.
IOT,0,2314.02,2314.02,N,Ship,USCGC Sorrel,Visual,60.93333333,-46.03333333,1948,1948,February,2/19/48,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,2315,2315,N,Ship,USCGC Sorrel,Visual,60.86666667,-46.51666667,1948,1948,February,2/19/48,,Growler,,x,,,,,,,,,,,,,,,,,,,,Scattered growlers Cape Brede Fjord.
IOT,1,2316,2316,N,Aircraft,Ice Patrol,Visual,51.25,-53.83333333,1948,1948,February,2/20/48,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,2317,2317,N,Aircraft,Ice Patrol,Visual,51.43333333,-54.06666667,1948,1948,February,2/20/48,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,2318,2318,N,Aircraft,Ice Patrol,Visual,51.43333333,-53.06666667,1948,1948,February,2/20/48,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,2319,2319,N,Aircraft,Ice Patrol,Visual,51.56666667,-54.13333333,1948,1948,February,2/20/48,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,2320,2320,N,Aircraft,Ice Patrol,Visual,51.66666667,-52.86666667,1948,1948,February,2/20/48,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,2321,2321,N,Aircraft,Ice Patrol,Visual,51.75,-52.66666667,1948,1948,February,2/20/48,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,2322,2322,N,Aircraft,Ice Patrol,Visual,52.33333333,-53.66666667,1948,1948,February,2/20/48,,Berg,3,,,,,,,,,,,,,,,,,,,,,
IOT,1,2323,2323,N,Aircraft,Ice Patrol,Visual,52.33333333,-53,1948,1948,February,2/20/48,,Berg,x,,,,,,,,,,,,,,,,,,,,,Numerous bergs.
IOT,1,2324,2324,N,Aircraft,Ice Patrol,Visual,53.13333333,-52.86666667,1948,1948,February,2/20/48,,Large,,,,,,1,,,,,,,,,,,,,,,,
