date,longitude,latitude,resight,size
06/08/1983,-50.45,47.8,0,SM
06/08/1983,-49.08,47.12,0,MED
06/08/1983,-43.73,44.43,0,MED
06/08/1983,-45.2,47.08,0,MED
06/08/1983,-46.42,47.12,0,MED
06/08/1983,-50.07,48.07,0,MED
06/15/1983,-48.17,47.85,1,MED
06/15/1983,-48.15,47.83,1,MED
06/18/1983,-47.78,47.15,1,SM
06/08/1983,-51.03,48.48,0,SM
06/11/1983,-49.45,48.42,1,MED
06/15/1983,-48.0,48.08,1,MED
06/18/1983,-47.83,47.43,1,MED
06/20/1983,-47.85,47.1,1,MED
06/10/1983,-48.8,48.25,0,MED
06/10/1983,-48.82,48.38,0,MED
06/11/1983,-48.43,48.25,1,MED
06/10/1983,-49.85,47.35,0,MED
06/18/1983,-50.23,46.08,1,MED
06/10/1983,-50.58,46.38,0,LG
06/16/1983,-51.75,45.43,1,MED
06/11/1983,-48.7,48.53,0,MED
06/13/1983,-52.77,46.62,0,MED
06/16/1983,-53.32,46.32,1,MED
06/13/1983,-51.2,46.93,0,MED
06/13/1983,-44.2,46.0,0,BBGR
06/13/1983,-47.23,45.3,0,LG
06/16/1983,-46.61,45.19,1,LG
06/18/1983,-46.1,44.98,1,MED
06/12/1983,-49.0,44.58,0,LG
06/12/1983,-49.02,44.58,1,LG
06/16/1983,-49.45,43.65,1,MED
06/14/1983,-50.97,50.02,0,LG
06/13/1983,-46.95,51.32,0,LG
06/14/1983,-50.7,47.2,0,MED
06/14/1983,-51.32,47.02,0,LG
06/15/1983,-47.57,46.62,0,MED
06/15/1983,-47.4,47.65,0,MED
06/15/1983,-47.32,47.92,0,MED
06/15/1983,-47.2,47.62,0,MED
06/16/1983,-51.75,46.63,1,MED
06/15/1983,-55.08,50.17,0,MED
06/15/1983,-54.87,50.52,0,MED
06/15/1983,-55.07,50.62,0,MED
06/15/1983,-55.02,51.3,0,MED
07/02/1983,-53.1,49.53,1,MED
07/05/1983,-52.01,48.6,1,MED
06/15/1983,-47.33,44.42,0,MED
06/14/1983,-53.12,46.6,0,MED
06/16/1983,-53.33,46.48,1,MED
06/23/1983,-53.66,45.9,1,SM
06/14/1983,-48.25,48.35,0,X
06/14/1983,-47.35,48.43,0,MED
06/14/1983,-48.75,48.15,0,MED
06/16/1983,-50.35,43.82,0,SM
06/16/1983,-50.35,43.78,0,SM
06/16/1983,-49.87,41.42,0,X
06/16/1983,-49.43,41.2,0,LG
06/16/1983,-49.25,41.35,0,SM
06/16/1983,-49.1,41.1,0,X
06/16/1983,-49.12,43.62,0,SM
06/16/1983,-50.28,45.38,0,SM
06/16/1983,-50.5,46.2,0,MED
06/16/1983,-50.53,46.23,0,SM
06/16/1983,-50.73,46.23,0,SM
06/16/1983,-50.8,46.47,0,MED
06/16/1983,-51.45,46.88,0,SM
06/16/1983,-49.04,44.21,0,LG
06/16/1983,-50.72,46.87,0,MED
06/16/1983,-50.71,46.87,0,BBGR
06/16/1983,-51.3,46.8,0,BBGR
06/16/1983,-51.47,46.82,0,SM
06/16/1983,-54.82,46.13,0,MED
06/23/1983,-56.15,45.75,1,MED
06/16/1983,-51.02,46.93,0,MED
06/16/1983,-54.55,50.9,0,SM
06/16/1983,-48.07,47.07,0,SM
06/16/1983,-47.22,47.12,0,MED
06/17/1983,-50.02,48.5,0,MED
06/17/1983,-50.58,48.47,0,LG
06/17/1983,-47.3,44.03,0,SM
06/17/1983,-49.4,47.92,0,MED
06/17/1983,-48.65,47.97,0,MED
06/18/1983,-48.03,47.78,1,MED
06/20/1983,-47.75,47.65,1,BBGR
06/17/1983,-48.03,47.95,0,SM
06/18/1983,-47.73,47.75,1,SM
06/17/1983,-48.33,48.3,0,MED
06/17/1983,-48.4,48.3,0,SM
06/17/1983,-48.35,48.2,0,MED
06/17/1983,-48.52,48.2,0,SM
06/18/1983,-47.93,47.95,1,MED
06/17/1983,-48.58,48.13,0,MED
06/18/1983,-48.05,48.02,1,SM
06/20/1983,-47.6,47.53,1,MED
06/17/1983,-49.5,48.47,0,SM
06/22/1983,-47.17,48.0,1,SM
06/17/1983,-47.53,47.68,0,MED
06/19/1983,-47.43,46.95,1,MED
06/18/1983,-47.92,47.57,0,SM
06/16/1983,-45.13,48.1,0,LG
06/20/1983,-47.48,47.35,1,MED
06/18/1983,-52.81,46.23,0,MED
06/18/1983,-52.8,46.24,0,MED
06/18/1983,-52.8,46.23,0,MED
06/18/1983,-52.81,46.24,0,MED
06/18/1983,-48.85,46.73,0,SM
06/23/1983,-47.88,47.52,1,SM
06/24/1983,-47.65,47.43,1,SM
06/18/1983,-48.88,46.78,0,LG
06/18/1983,-48.88,46.62,0,LG
06/29/1983,-47.45,47.82,1,MED
06/18/1983,-50.18,46.98,0,SM
06/23/1983,-50.22,46.7,1,MED
06/18/1983,-51.15,47.6,0,MED
06/23/1983,-50.68,46.98,1,SM
06/18/1983,-51.23,47.02,0,MED
06/18/1983,-52.23,47.89,0,BBGR
06/18/1983,-52.23,47.88,0,BBGR
06/18/1983,-52.13,47.95,0,BBGR
06/18/1983,-52.13,47.96,0,BBGR
06/18/1983,-52.13,47.97,0,BBGR
06/18/1983,-52.1,47.98,0,BBGR
06/18/1983,-52.23,48.03,0,SM
06/18/1983,-51.97,47.87,0,SM
06/19/1983,-47.87,47.15,0,MED
06/18/1983,-46.85,47.65,0,MED
