data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1992,1992,N,Unknown,Unknown,Visual,60.66666667,-47,1944,1944,January,1/18/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs vicinity 60.40N
IOT,1,1993,1993,N,Unknown,Unknown,Visual,59.78333333,-43.91666667,1944,1944,January,1/22/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs Cape Farewell to Arsuk Fjord.
IOT,1,1994,1994,N,Unknown,Unknown,Visual,61.21666667,-48.18333333,1944,1944,January,1/22/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs Cape Farewell to Arsuk Fjord.
IOT,1,5,5,N,Unknown,Unknown,Visual,54.35,-44.4,1944,1944,January,1/30/44,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,1995.01,1995.01,N,Unknown,Unknown,Visual,56.75,-41.25,1944,1944,January,1/30/44,,Berg,12,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,1995.02,1995.02,N,Unknown,Unknown,Visual,59.41666667,-36,1944,1944,January,1/30/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,1997.1,1997.1,N,Unknown,Unknown,Visual,59.28333333,-43.91666667,1944,1944,January,1/31/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Loose heavy string of winter ice 1 to 2 miles wide with many bergs and growlers 10 to 30 miles off beach between Cape Farewell and Thorvaldsen.
IOT,1,1997.2,1997.2,N,Unknown,Unknown,Visual,59.28333333,-43.91666667,1944,1944,January,1/31/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Loose heavy string of winter ice 1 to 2 miles wide with many bergs and growlers 10 to 30 miles off beach between Cape Farewell and Thorvaldsen.
IOT,1,1998,1998,N,Unknown,Unknown,Visual,60.31666667,-48.63333333,1944,1944,January,1/31/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IP
IOT,1,6,6,N,Unknown,Unknown,Visual,52.58333333,-49.91666667,1944,1944,February,2/12/44,,Small,,,,2,,,,,,,,,,,,,,,,,,IIP
IOT,1,7,7,N,Unknown,Unknown,Visual,52.58333333,-51.33333333,1944,1944,February,2/12/44,,Medium,,,,,1,,,,,,,,,,,,,,,,,IIP
IOT,1,1999.1,1999.1,N,Unknown,Unknown,Visual,59,-43.91666667,1944,1944,February,2/14/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Numerous Cape Farewell area south to 59N
IOT,1,1999.1,1999.1,N,Unknown,Unknown,Visual,59,-43.91666667,1944,1944,February,2/14/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Numerous Cape Farewell area south to 59N
IOT,1,2000.11,2000.11,N,Unknown,Unknown,Visual,60,-47.61666667,1944,1944,February,2/22/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Within 20 mile coastal strip
IOT,0,2000.12,2000.12,N,Unknown,Unknown,Visual,60.68333333,-46.53333333,1944,1944,February,2/22/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Within 20 mile coastal strip
IOT,1,2000.21,2000.21,N,Unknown,Unknown,Visual,60,-47.61666667,1944,1944,February,2/22/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Within 20 mile coastal strip
IOT,0,2000.22,2000.22,N,Unknown,Unknown,Visual,60.68333333,-46.53333333,1944,1944,February,2/22/44,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Within 20 mile coastal strip
IOT,1,2001.1,2001.1,N,Unknown,Unknown,Visual,60.8,-46.26666667,1944,1944,February,2/28/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Offshore Skov Fjord to Arsuk Fjord.
IOT,1,2001.2,2001.2,N,Unknown,Unknown,Visual,60.8,-46.26666667,1944,1944,February,2/28/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Offshore Skov Fjord to Arsuk Fjord.
IOT,1,2002.1,2002.1,N,Unknown,Unknown,Visual,61.21666667,-48.18333333,1944,1944,February,2/28/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Offshore Skov Fjord to Arsuk Fjord.
IOT,1,2002.2,2002.2,N,Unknown,Unknown,Visual,61.21666667,-48.18333333,1944,1944,February,2/28/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Offshore Skov Fjord to Arsuk Fjord.
IOT,1,2003.1,2003.1,N,Unknown,Unknown,Visual,59.91666667,-43,1944,1944,February,2/28/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: From E end Egger Island along SW coast Greenland.
IOT,1,2003.2,2003.2,N,Unknown,Unknown,Visual,59.91666667,-43,1944,1944,February,2/28/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: From E end Egger Island along SW coast Greenland.
IOT,1,8,8,N,Unknown,Unknown,Visual,49.75,-53.18333333,1944,1944,March,3/10/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Many bergs vicinity Funk Is.
IOT,1,9.01,9.01,N,Unknown,Unknown,Visual,49,-52,1944,1944,March,3/10/44,,Berg,12,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,9.02,9.02,N,Unknown,Unknown,Visual,50,-52,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,9.03,9.03,N,Unknown,Unknown,Visual,50,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,9.04,9.04,N,Unknown,Unknown,Visual,49,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,9.05,9.05,N,Unknown,Unknown,Visual,49,-52,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,10.01,10.01,N,Unknown,Unknown,Visual,49,-53,1944,1944,March,3/10/44,,Berg,22,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,10.02,10.02,N,Unknown,Unknown,Visual,50,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,10.03,10.03,N,Unknown,Unknown,Visual,50,-54,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,10.04,10.04,N,Unknown,Unknown,Visual,49,-53.5,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,10.05,10.05,N,Unknown,Unknown,Visual,49,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,11.01,11.01,N,Unknown,Unknown,Visual,50,-52,1944,1944,March,3/10/44,,Berg,3,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,11.02,11.02,N,Unknown,Unknown,Visual,51,-52,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,11.03,11.03,N,Unknown,Unknown,Visual,51,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,11.04,11.04,N,Unknown,Unknown,Visual,50,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,11.05,11.05,N,Unknown,Unknown,Visual,50,-52,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,12.01,12.01,N,Unknown,Unknown,Visual,50,-53,1944,1944,March,3/10/44,,Berg,15,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,12.02,12.02,N,Unknown,Unknown,Visual,51,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,12.03,12.03,N,Unknown,Unknown,Visual,51,-54,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,12.04,12.04,N,Unknown,Unknown,Visual,50,-54,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,12.05,12.05,N,Unknown,Unknown,Visual,50,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,13.01,13.01,N,Unknown,Unknown,Visual,51,-52,1944,1944,March,3/10/44,,Berg,4,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,13.02,13.02,N,Unknown,Unknown,Visual,52,-52,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,13.03,13.03,N,Unknown,Unknown,Visual,52,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,13.04,13.04,N,Unknown,Unknown,Visual,51,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,13.05,13.05,N,Unknown,Unknown,Visual,51,-52,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,14.01,14.01,N,Unknown,Unknown,Visual,51,-53,1944,1944,March,3/10/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,14.02,14.02,N,Unknown,Unknown,Visual,52,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,14.03,14.03,N,Unknown,Unknown,Visual,52,-54,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,14.04,14.04,N,Unknown,Unknown,Visual,51,-54,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,14.05,14.05,N,Unknown,Unknown,Visual,51,-53,1944,1944,March,3/10/44,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,2004.1,2004.1,N,Unknown,Unknown,Visual,59.78333333,-43.91666667,1944,1944,March,3/11/44,,Berg,x,,,,,,,,,,,,,,,,,,,,,"IIP: Past Cape Farewell and along SW coast, mostly within 10 miles of beach."
IOT,1,2004.2,2004.2,N,Unknown,Unknown,Visual,59.78333333,-43.91666667,1944,1944,March,3/11/44,,Growler,,x,,,,,,,,,,,,,,,,,,,,"IIP: Past Cape Farewell and along SW coast, mostly within 10 miles of beach."
IOT,1,15,15,N,Unknown,Unknown,Visual,48.26666667,-50.16666667,1944,1944,March,3/13/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,16,16,N,Unknown,Unknown,Visual,48.41666667,-50.46666667,1944,1944,March,3/13/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,17,17,N,Unknown,Unknown,Visual,48.5,-50.3,1944,1944,March,3/13/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,2005,2005,N,Unknown,Unknown,Visual,65.16666667,-13.48333333,1944,1944,March,3/15/44,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,18,18,N,Unknown,Unknown,Visual,47.75,-47.68333333,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,19,19,N,Unknown,Unknown,Visual,47.8,-47.96666667,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,20,20,N,Unknown,Unknown,Visual,47.88333333,-48.51666667,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,21,21,N,Unknown,Unknown,Visual,47.95,-48.61666667,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,22,22,N,Unknown,Unknown,Visual,48.03333333,-48.88333333,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,23,23,N,Unknown,Unknown,Visual,48.05,-48.53333333,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,24,24,N,Unknown,Unknown,Visual,48.11666667,-48.26666667,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,25,25,N,Unknown,Unknown,Visual,48.13333333,-49.51666667,1944,1944,March,3/16/44,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,2006.01,2006.01,N,Unknown,Unknown,Visual,57,-44,1944,1944,March,3/16/44,,Berg,6,,,,,,,,,,,,,,,,,,,,,IIP
