data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1,1,N,Miscellaneous,Cape Race Station,Visual,50.63333333,-45.6,1929,1929,January,1/11/29,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,12,12,N,Miscellaneous,Cape Race Station,Visual,47.75,-51.08333333,1929,1929,February,2/17/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Growlers extending northward
IOT,1,21.01,21.01,N,Ship,Drottningholm (SS),Visual,47.01666667,-50.01666667,1929,1929,February,2/27/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP & HB 2064 Mar 27: Heavy patches field ice and numerous growlers
IOT,0,21.02,21.02,N,Ship,Drottningholm (SS),Visual,47.11666667,-49.01666667,1929,1929,February,2/27/29,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP & HB 2064 Mar 27: Heavy patches field ice and numerous growlers
IOT,1,23.01,23.01,N,Miscellaneous,Cape Race Station,Visual,47.03333333,-47.83333333,1929,1929,February,2/28/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Drift ice and growler
IOT,0,23.02,23.02,N,Miscellaneous,Cape Race Station,Visual,46.41666667,-47.66666667,1929,1929,February,2/28/29,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Drift ice and growler
IOT,1,24,24,N,Ship,Gripsholm (SS),Visual,45.88333333,-47.9,1929,1929,March,3/1/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP & HB 2062 Mar 13: Scattered growlers
IOT,1,36,36,N,Miscellaneous,Cape Race Station,Visual,49.05,-50.06666667,1929,1929,March,3/1/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Heavy field ice and growlers
IOT,1,37,37,N,Miscellaneous,Cape Race Station,Visual,44.58333333,-48.56666667,1929,1929,March,3/2/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Several growlers
IOT,1,38,38,N,Miscellaneous,Cape Race Station,Visual,45.75,-47.76666667,1929,1929,March,3/3/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Several small growlers
IOT,1,39,39,N,Miscellaneous,Cape Race Station,Visual,45.5,-48.16666667,1929,1929,March,3/5/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Scattered growlers
IOT,1,41.01,41.01,N,Miscellaneous,Cape Race Station,Visual,45.68333333,-48.76666667,1929,1929,March,3/6/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,"IIP: Several growlers, small ice"
IOT,0,41.02,41.02,N,Miscellaneous,Cape Race Station,Visual,46.16666667,-47.83333333,1929,1929,March,3/6/29,,Growler,,,,,,,,,,,,,,,,,,,,,,"IIP: Several growlers, small ice"
IOT,1,42,42,N,Miscellaneous,Cape Race Station,Visual,48.71666667,-50,1929,1929,March,3/7/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Large growlers and small ice
IOT,1,43.01,43.01,N,Miscellaneous,Cape Race Station,Visual,48.71666667,-50,1929,1929,March,3/8/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Large growlers and small ice
IOT,0,43.02,43.02,N,Miscellaneous,Cape Race Station,Visual,47.33333333,-51.66666667,1929,1929,March,3/8/29,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Large growlers and small ice
IOT,1,26,26,N,Ship,Wytheville  (SS),Visual,47.23333333,-47.56666667,1929,1929,March,3/10/29,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP & HB 2064 Mar 27: Small growler
IOT,1,27,27,N,Ship,Wytheville  (SS),Visual,47.15,-47.9,1929,1929,March,3/10/29,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP & HB 2064 Mar 27: Large growler
IOT,1,44,44,N,Miscellaneous,Cape Race Station,Visual,47.21666667,-48.6,1929,1929,March,3/10/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Small growlers
IOT,1,28.01,28.01,N,Miscellaneous,Cape Race Station,Visual,48.8,-48.3,1929,1929,March,3/11/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Large growlers aand small pieces of ice
IOT,0,28.02,28.02,N,Miscellaneous,Cape Race Station,Visual,48.41666667,-48.33333333,1929,1929,March,3/11/29,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Large growlers aand small pieces of ice
IOT,1,29.1,29.1,N,Miscellaneous,Cape Race Station,Visual,48.41666667,-48.33333333,1929,1929,March,3/11/29,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,29.2,29.2,N,Miscellaneous,Cape Race Station,Visual,48.41666667,-48.33333333,1929,1929,March,3/11/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,30.1,30.1,N,Miscellaneous,Cape Race Station,Visual,48.06666667,-48.2,1929,1929,March,3/11/29,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,30.2,30.2,N,Miscellaneous,Cape Race Station,Visual,48.06666667,-48.2,1929,1929,March,3/11/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Large growlers
IOT,1,31,31,N,Miscellaneous,Cape Race Station,Visual,46.98333333,-47.93333333,1929,1929,March,3/11/29,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Small growler
IOT,1,32,32,N,Miscellaneous,Cape Race Station,Visual,47.06666667,-48.55,1929,1929,March,3/11/29,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,33,33,N,Miscellaneous,Cape Race Station,Visual,47.33333333,-47.5,1929,1929,March,3/11/29,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP: Large growlers
IOT,1,34,34,N,Miscellaneous,Cape Race Station,Visual,47.41666667,-47.33333333,1929,1929,March,3/11/29,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Small growler
IOT,1,46,46,N,Miscellaneous,Cape Race Station,Visual,48.06666667,-48.55,1929,1929,March,3/11/29,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,35.01,35.01,N,Miscellaneous,Cape Race Station,Visual,47.9,-47.03333333,1929,1929,March,3/14/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,"IIP: Heavy field ice, numerous growlers"
IOT,0,35.02,35.02,N,Miscellaneous,Cape Race Station,Visual,47.41666667,-47.35,1929,1929,March,3/14/29,,Growler,,,,,,,,,,,,,,,,,,,,,,"IIP: Heavy field ice, numerous growlers"
IOT,1,49,49,N,Ship,Ernst Hugo Stinnes II (SS),Visual,47.71666667,-44.88333333,1929,1929,March,3/16/29,,Berg,4,,,,,,,,,,,,,,,,,,,,,IIP: 4 bergs with drift ice
IOT,1,50.11,50.11,N,Ship,Lituania (SS),Visual,48.41666667,-49.85,1929,1929,March,3/17/29,,Small,,,,x,,,,,,,,,,,,,,,,,,"IIP: Several small bergs, numerous growlers, field ice"
IOT,0,50.12,50.12,N,Ship,Lituania (SS),Visual,46.65,-52.86666667,1929,1929,March,3/17/29,,Small,,,,,,,,,,,,,,,,,,,,,,"IIP: Several small bergs, numerous growlers, field ice"
IOT,1,50.21,50.21,N,Ship,Lituania (SS),Visual,48.41666667,-49.85,1929,1929,March,3/17/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,"IIP: Several small bergs, numerous growlers, field ice"
IOT,0,50.22,50.22,N,Ship,Lituania (SS),Visual,46.65,-52.86666667,1929,1929,March,3/17/29,,Growler,,,,,,,,,,,,,,,,,,,,,,"IIP: Several small bergs, numerous growlers, field ice"
IOT,1,52.11,52.11,N,Miscellaneous,Cape Race Station,Visual,48.73333333,-48.91666667,1929,1929,March,3/17/29,,Growler,,x,,,,,,,,,,,,,,,,,,,,"IIP: Heavy field ice, numerous growlers and bergs"
IOT,0,52.12,52.12,N,Miscellaneous,Cape Race Station,Visual,48.08333333,-50.66666667,1929,1929,March,3/17/29,,Growler,,,,,,,,,,,,,,,,,,,,,,"IIP: Heavy field ice, numerous growlers and bergs"
IOT,1,52.21,52.21,N,Miscellaneous,Cape Race Station,Visual,48.73333333,-48.91666667,1929,1929,March,3/17/29,,Berg,x,,,,,,,,,,,,,,,,,,,,,"IIP: Heavy field ice, numerous growlers and bergs"
