data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,25,25,N,Miscellaneous,Cape Race Radio Station,Visual,56.95,-27.88333333,1928,1928,March,3/3/28,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,28.01,28.01,N,Ship,Kolsnaren (SS),Visual,49.25,-46.5,1928,1928,March,3/3/28,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Ice field with bergs. HB 2011 Mar 21 has 49.15N 48.41W to 46.30N 47.00W which is less likely
IOT,0,28.02,28.02,N,Ship,Kolsnaren (SS),Visual,48.68333333,-47,1928,1928,March,3/3/28,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Ice field with bergs. HB 2011 Mar 21 has 49.15N 48.41W to 46.30N 47.00W which is less likely
IOT,1,29,29,N,Miscellaneous,Cape Race Radio Station,Visual,48.43333333,-47.5,1928,1928,March,3/4/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,33.1,33.1,N,Ship,Frederik VIII (SS),Visual,47.11666667,-45.5,1928,1928,March,3/13/28,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP. HB 2012 Mar 28
IOT,1,33.2,33.2,N,Ship,Frederik VIII (SS),Visual,47.11666667,-45.5,1928,1928,March,3/13/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP. HB 2012 Mar 28
IOT,1,37,37,N,Ship,Frederik VIII (SS),Visual,48.58333333,-48.83333333,1928,1928,March,3/14/28,,Medium,,,,,1,,,,,,61,E,18,E,,,,,,,,IIP. HB 2012 Mar 28: ~60' high & 200' long
IOT,1,38,38,N,Ship,Frederik VIII (SS),Visual,49.48333333,-47.58333333,1928,1928,March,3/14/28,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 2012 Mar 28. IIP has Small bergs at same location as #37
IOT,1,40,40,N,Ship,Manatawny (SS),Visual,46.35,-47.56666667,1928,1928,March,3/15/28,,Small,,,,1,,,,,,,24,E,12,E,,,,,,,,IIP. HB 2012 Mar 28: berg ~40' high & 80' long
IOT,1,41,41,N,Ship,Manatawny (SS),Visual,46,-48,1928,1928,March,3/16/28,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP: Field ice and Small berg
IOT,1,44.11,44.11,N,Ship,Manatawny (SS),Visual,48.61666667,-49.18333333,1928,1928,March,3/22/28,,Small,,,,2,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4: 2 Small bergs & several narrow belts of dift ice & scattered growlers
IOT,0,44.12,44.12,N,Ship,Manatawny (SS),Visual,48.16666667,-50.33333333,1928,1928,March,3/22/28,,Small,,,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4: 2 Small bergs & several narrow belts of dift ice & scattered growlers
IOT,1,44.21,44.21,N,Ship,Manatawny (SS),Visual,48.61666667,-49.18333333,1928,1928,March,3/22/28,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4: 2 Small bergs & several narrow belts of dift ice & scattered growlers
IOT,0,44.22,44.22,N,Ship,Manatawny (SS),Visual,48.16666667,-50.33333333,1928,1928,March,3/22/28,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4: 2 Small bergs & several narrow belts of dift ice & scattered growlers
IOT,1,45,45,N,Ship,Manchester Commerce (SS),Visual,45.86666667,-46.9,1928,1928,March,3/26/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Low berg.  HB 2013 Apr 4
IOT,1,46,46,N,Ship,Nova Scotia (SS),Visual,47.63333333,-46.85,1928,1928,March,3/28/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4: 46.31W
IOT,1,47,47,N,Ship,Quaker City (SS),Visual,48.08333333,-48.08333333,1928,1928,March,3/28/28,,Small,,,,x,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4: heavy field ice with Small bergs
IOT,1,48,48,N,Ship,M. Christensen (SS),Visual,46.16666667,-46,1928,1928,March,3/29/28,,Large,,,,,,2,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,50,50,N,Ship,Mojave (IIP),Visual,44.98333333,-48.65,1928,1928,March,3/29/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,51.1,51.1,N,Ship,Mojave (IIP),Visual,45.25,-48.35,1928,1928,March,3/29/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,51.2,51.2,N,Ship,Mojave (IIP),Visual,45.25,-48.35,1928,1928,March,3/29/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,52,52,N,Ship,M. Christensen (SS),Visual,45.7,-47.61666667,1928,1928,March,3/29/28,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,53,53,N,Ship,M. Christensen (SS),Visual,45.75,-47.91666667,1928,1928,March,3/29/28,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,54,54,N,Ship,M. Christensen (SS),Visual,45.45,-48.41666667,1928,1928,March,3/29/28,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP. HB 2013 Apr 4
IOT,1,55,53,Y,Ship,Ice Patrol,Visual,45.58333333,-48.13333333,1928,1928,March,3/30/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,56,56,N,Ship,Ice Patrol,Visual,45.7,-47.81666667,1928,1928,March,3/30/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,57,52,Y,Ship,Ice Patrol,Visual,45.6,-47.81666667,1928,1928,March,3/30/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,58,58,N,Ship,Ice Patrol,Visual,45.65,-47.63333333,1928,1928,March,3/30/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,59,59,N,Ship,Ice Patrol,Visual,45.75,-47.58333333,1928,1928,March,3/30/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,60,54,Y,Ship,Mojave (IIP),Visual,45.13333333,-48.35,1928,1928,March,3/31/28,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
IOT,1,61,61,N,Ship,Mojave (IIP),Visual,45.23333333,-48.36666667,1928,1928,March,3/31/28,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
IOT,1,62,62,N,Ship,Mojave (IIP),Visual,45.45,-48.45,1928,1928,March,3/31/28,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
IOT,1,63,63,N,Ship,Mojave (IIP),Visual,44.93333333,-48.66666667,1928,1928,March,3/31/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
IOT,1,64.1,63,Y,Ship,Mojave (IIP),Visual,44.7,-48.38333333,1928,1928,April,4/1/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
IOT,1,64.2,64.2,N,Ship,Mojave (IIP),Visual,44.7,-48.38333333,1928,1928,April,4/1/28,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
IOT,1,65,53,Y,Ship,Kolsnaren (SS),Visual,44.96666667,-48.41666667,1928,1928,April,4/2/28,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP. HB 2014 Apr 11
