data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,306.01,306.01,N,Ship,Unknown,Visual,42.5,-46.98333333,1921,1921,April,4/5/20,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1649 Apr 13.
IOT,1,306.02,306.02,N,Ship,Unknown,Visual,44.15,-49.83333333,1921,1921,April,4/5/20,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1649 Apr 13.
IOT,1,247,247,N,Ship,Unknown,Visual,43.58333333,-47.66666667,1921,1921,January,1/1/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1640 Feb 9
IOT,1,243,243,N,Ship,Unknown,Visual,47.06666667,-43.9,1921,1921,January,1/2/21,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 1638 Jan 26
IOT,1,244,244,N,Ship,Unknown,Visual,47.05,-51.96666667,1921,1921,January,1/4/21,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 1638 Jan 26
IOT,1,245,245,N,Ship,Unknown,Visual,46.8,-51.85,1921,1921,January,1/5/21,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 1638 Jan 26
IOT,1,248,248,N,Ship,Unknown,Visual,47.65,-50.85,1921,1921,January,1/12/21,,Medium,,,,,1,,,,,,,,30,E,,,,,,,,HB 1640 Feb 9: ~100' high
IOT,1,246,246,N,Ship,Unknown,Visual,45.98333333,-46.38333333,1921,1921,January,1/13/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1639 Feb 2
IOT,1,249,249,N,Ship,Unknown,Visual,45.93333333,-50.95,1921,1921,February ,2/1/21,,Berg,2,,,,,,,,,,,,,,,,,,,,,HB 1641 Feb 16
IOT,1,251,251,N,Ship,Unknown,Visual,48.11666667,-48.6,1921,1921,February ,2/1/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1641 Feb 16
IOT,1,250,250,N,Ship,Unknown,Visual,48.16666667,-50.61666667,1921,1921,February ,2/1/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1641 Feb 16
IOT,1,252,252,N,Ship,Unknown,Visual,48.25,-50.51666667,1921,1921,February ,2/1/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1641 Feb 16
IOT,1,253,253,N,Miscellaneous,Cape Race,Visual,46.53333333,-52.9,1921,1921,February ,2/2/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,"HB 1641 Feb 16: ~10 miles SE C.Race, aground"
IOT,1,192,192,N,Miscellaneous,Belle Isle,Visual,51.95,-55.35,1921,1921,February ,2/2/21,,Berg,4,,,,,,,,,,,,,,,,,,,,,HB 1641 Feb 16 CSS;
IOT,1,254,253,Y,Miscellaneous,Cape Race,Visual,46.53333333,-52.9,1921,1921,February ,2/3/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,"HB 1641 Feb 16: ~10 miles SE C.Race, aground"
IOT,1,193,192,Y,Miscellaneous,Belle Isle,Visual,51.95,-55.35,1921,1921,February ,2/4/21,,Berg,4,,,,,,,,,,,,,,,,,,,,,HB 1641 Feb 16 CSS
IOT,1,194,192,Y,Miscellaneous,Belle Isle,Visual,51.95,-55.35,1921,1921,February ,2/5/21,,Berg,4,,,,,,,,,,,,,,,,,,,,,HB 1641 Feb 16 CSS
IOT,1,255,255,N,Ship,Unknown,Visual,45.41666667,-50.9,1921,1921,February ,2/7/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1643 Mar 2
IOT,1,256,256,N,Ship,Unknown,Visual,44.41666667,-51.25,1921,1921,February ,2/10/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1643 Mar 2
IOT,1,257,257,N,Ship,Unknown,Visual,44.26666667,-50.66666667,1921,1921,February ,2/11/21,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1643 Mar 2
IOT,1,258.1,258.1,N,Ship,Unknown,Visual,44.3,-50.88333333,1921,1921,February ,2/11/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1643 Mar 2
IOT,1,258.2,258.2,N,Ship,Unknown,Visual,44.3,-50.88333333,1921,1921,February ,2/11/21,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1643 Mar 2: a few small growlers
IOT,1,260,260,N,Ship,Unknown,Visual,46.88333333,-52.85,1921,1921,February ,2/11/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1643 Mar 2: ~2 miles off Renews Rocks
IOT,1,259,259,N,Ship,Unknown,Visual,46.9,-52.83333333,1921,1921,February ,2/11/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1643 Mar 2: ~5 miles SE Fermeuse Harbour
IOT,1,373,373,N,Ship,Cape Race,Visual,46.65,-52.81666667,1921,1921,February ,2/14/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,"HB 1643 Mar 2 ""in sight 10 miles east and aground"" of Cape Race."
IOT,0,261.02,261.02,N,Ship,Unknown,Visual,47.2,-51.56666667,1921,1921,February ,2/14/21,,Large,,,,,,,,,,,,,,,,,,,,,,
IOT,1,261.01,261.01,N,Ship,Unknown,Visual,48.25,-49.11666667,1921,1921,February ,2/14/21,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 1643 Mar 2
IOT,1,263,263,N,Ship,Unknown,Visual,48.16666667,-50.11666667,1921,1921,February ,2/23/21,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1644 Mar 9
IOT,1,262,262,N,Ship,Unknown,Visual,48.31666667,-49.78333333,1921,1921,February ,2/23/21,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1644 Mar 9
IOT,1,1,1,N,Ship,Unknown,Visual,46.83333333,-48,1921,1921,February,2/24/21,,Small,,,,1,,,,,,,,,6,E,,,,,,,,NYMR & HB 1645 Mar 16: ~20' high
IOT,1,238,238,N,Ship,Princess Matoika (SS),Visual,41.68333333,-51.58333333,1921,1921,February ,2/24/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,SICDB: Collided with berg; HB 1644 Mar 9: struck apparently drift ice
IOT,1,265,373,Y,Miscellaneous,Cape Race,Visual,46.65,-52.81666667,1921,1921,February ,2/24/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1644 Mar 9: ~10 miles E C.Race
IOT,1,115,115,N,Miscellaneous,Cape Race Radio Station,Visual,44.41666667,-50.9,1921,1921,February ,2/25/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,116,249,Y,Miscellaneous,Cape Race Radio Station,Visual,45.93333333,-50.95,1921,1921,February ,2/25/21,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,119,119,N,Ship,Seneca,Visual,48.16666667,-50.11666667,1921,1921,February ,2/25/21,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,118,118,N,Ship,Seneca,Visual,48.31666667,-49.78333333,1921,1921,February ,2/25/21,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,195,195,N,Miscellaneous,Belle Isle,Visual,51.95,-55.35,1921,1921,February ,2/25/21,,Berg,5,,,,,,,,,,,,,,,,,,,,,HB 1644 Mar 9 CSS
IOT,1,264,264,N,Miscellaneous,Cape Race,Visual,46.7,-52.86666667,1921,1921,February ,2/28/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1644 Mar 9: ~9 miles ENE C.Race
IOT,1,437,437,N,Ship,Unknown,Visual,45.66666667,-47.63333333,1921,1921,March,3/3/21,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 1654 May 18.
IOT,1,438,438,N,Ship,Unknown,Visual,45.66666667,-47.63333333,1921,1921,March,3/3/21,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1654 May 18.
IOT,1,439,439,N,Ship,Unknown,Visual,46.1,-47,1921,1921,March,3/3/21,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1654 May 18.
IOT,1,440,440,N,Ship,Unknown,Visual,46.8,-46.16666667,1921,1921,March,3/3/21,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1654 May 18.
IOT,1,441,441,N,Ship,Unknown,Visual,46.8,-46.16666667,1921,1921,March,3/3/21,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1654 May 18.
IOT,1,123,123,N,Ship,Scandinavian,Visual,42.75,-47.85,1921,1921,March,3/4/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,122,122,N,Ship,Mystic,Visual,42.81666667,-49.41666667,1921,1921,March,3/4/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,124,124,N,Ship,Arabic,Visual,42.96666667,-49.83333333,1921,1921,March,3/4/21,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP;
IOT,1,117.01,117.01,N,Miscellaneous,Cape Race Radio Station,Visual,46.21666667,-52.1,1921,1921,March,3/4/21,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP;
IOT,0,117.02,117.02,N,Miscellaneous,Cape Race Radio Station,Visual,46.21666667,-53.33333333,1921,1921,March,3/4/21,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,125,125,N,Ship,Seneca,Visual,42.85,-49.58333333,1921,1921,March,3/5/21,17:00,Medium,,,,,1,,,,,Domed,61,E,32,E,,,,,,,,"IIP; Dome shaped, 104 feet high, pure white, outlying spur, extreme length 200 feet"
IOT,1,374.01,117.01,Y,Ship,Seneca (IIP),Visual,46.21666667,-52.1,1921,1921,March,3/5/21,,Growler,,x,,,,,,,,,,,,,,,,,,,,"HB 1645 Mar 16 ""large growlers."""
IOT,0,374.02,117.02,Y,Ship,Seneca (IIP),Visual,46.21666667,-53.33333333,1921,1921,March,3/5/21,,Growler,,x,,,,,,,,,,,,,,,,,,,,"HB 1645 Mar 16 ""large growlers."""
