data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,5,5,N,Unknown,Unknown,Visual,48.28333333,-50.85,1941,1941,March,3/3/41,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR. Lon. and date uncertain. HB 2688 Mar 12: bergs in these two locations {1 berg each?]
IOT,1,6,6,N,Unknown,Unknown,Visual,47.71666667,-51.2,1941,1941,March,3/3/41,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR. Date uncertain. HB 2688 Mar 12: bergs in these two locations {1 berg each?]
IOT,1,7,7,N,Unknown,Unknown,Visual,48.95,-50.03333333,1941,1941,March,3/19/41,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 2691 Apr 2
IOT,1,9,9,N,Unknown,Unknown,Visual,47.61666667,-50.36666667,1941,1941,April,4/12/41,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 2693 Apr 16
IOT,1,8,8,N,Unknown,Unknown,Visual,56.58333333,-41.81666667,1941,1941,April,4/27/41,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR. HB 2697 May 14
IOT,1,2,2,N,Aircraft,DOT,Visual,48.7,-62.13333333,1941,1941,April,4/30/41,,Growler,,1,,,,,,,,,,,,,,,,,,,,CIDS:(CIS IC0751)
IOT,1,3,3,N,Unknown,Unknown,Visual,49.16666667,-58.43333333,1941,1941,May,5/1/41,,Small,,,,1,,,,,,,45,E,6,E,,,,,,,,HB 2698 May 21
IOT,1,4,4,N,Unknown,Unknown,Visual,46.56666667,-59.6,1941,1941,May,5/4/41,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 2698 May 21
IOT,1,10.1,10.1,N,Ship,Unknown,Visual,49.86666667,-52.73333333,1941,1941,May,5/18/41,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 2698 May 21: field ice with growlers and several small bergs in vicinity
IOT,1,10.2,10.2,N,Ship,Unknown,Visual,49.86666667,-52.73333333,1941,1941,May,5/18/41,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 2698 May 21: field ice with growlers and several small bergs in vicinity
