data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1,1,N,Ship,Drammensfjord (SS),Visual,46,-47,1917,1917,March,3/8/17,,Berg,x,,,,,,,,,,,,,,,,,,,,,NYMR: Several bergs with much field ice.
IOT,1,2.11,2.11,N,Ship,Drammensfjord (SS),Visual,47.5,-47.41666667,1917,1917,March,3/10/17,12:00,Berg,x,,,,,,,,,,,,,,,,,,,,,"NYMR: Following edge of field ice saw several bergs and growlers.  Lon given as 40°25. HB 1439 Mar 28: 47.30N 47.25W, noon, met filed ice which extended to the NNW. Followed the ice edge to position during which time sighted several bergs & growlers"
IOT,0,2.12,2.12,N,Ship,Drammensfjord (SS),Visual,46.18333333,-47.16666667,1917,1917,March,3/10/17,,Berg,,,,,,,,,,,,,,,,,,,,,,"NYMR: Following edge of field ice saw several bergs and growlers.  Lon given as 40°25. HB 1439 Mar 28: 47.30N 47.25W, noon, met filed ice which extended to the NNW. Followed the ice edge to position during which time sighted several bergs & growlers"
IOT,1,2.21,2.21,N,Ship,Drammensfjord (SS),Visual,47.5,-47.41666667,1917,1917,March,3/10/17,12:00,Growler,,x,,,,,,,,,,,,,,,,,,,,"NYMR: Following edge of field ice saw several bergs and growlers.  Lon given as 40°25. HB 1439 Mar 28: 47.30N 47.25W, noon, met filed ice which extended to the NNW. Followed the ice edge to position during which time sighted several bergs & growlers"
IOT,0,2.22,2.22,N,Ship,Drammensfjord (SS),Visual,46.18333333,-47.16666667,1917,1917,March,3/10/17,,Growler,,,,,,,,,,,,,,,,,,,,,,"NYMR: Following edge of field ice saw several bergs and growlers.  Lon given as 40°25. HB 1439 Mar 28: 47.30N 47.25W, noon, met filed ice which extended to the NNW. Followed the ice edge to position during which time sighted several bergs & growlers"
IOT,1,3,3,N,Ship,Drammensfjord (SS),Visual,46.16666667,-47.16666667,1917,1917,March,3/10/17,22:00,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR. HB 1439  Mar 28 
IOT,1,4,4,N,Ship,Unknown,Visual,45.83333333,-48.5,1917,1917,March,3/14/17,,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR. HB 1440 Apr 4:  Small berg and field Ice extending to 44.30N 48.30W
IOT,1,26.01,26.01,N,Ship,Unknown,Visual,45.83333333,-48.5,1917,1917,March,3/14/17,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1440 Apr 4 Small Iceberg and Field Ice
IOT,0,26.02,26.02,N,Ship,Unknown,Visual,44.5,-48.5,1917,1917,March,3/14/17,,Small,,,,,,,,,,,,,,,,,,,,,,HB 1440 Apr 4 Small Iceberg and Field Ice
IOT,1,34,34,N,Ship,Unknown,Visual,42.81666667,-153.8166667,1917,1917,March,3/14/17,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1442 Apr 18
IOT,1,5,5,N,Ship,Unknown,Visual,48.13333333,-48.81666667,1917,1917,March,3/16/17,,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR
IOT,1,27,27,N,Ship,Unknown,Visual,43.13333333,-48.81666667,1917,1917,March,3/16/17,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1440 Apr 4 
IOT,1,6,6,N,Ship,Unknown,Visual,42.78333333,-50,1917,1917,March,3/18/17,,Very large,,,,,,,1,,,,,,91,E,,,,,,,,NYMR & HB 1440 Apr 4: a berg ~300' high
