data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,447,447,N,Ship,Gertrude M. Fauci,Visual,44,-56.75,1936,1936,February,2/12/36,,Berg,1,,,,,,,,,,,,,,,,,,,,,SICDB: hit a berg. [can it really be a berg?]
IOT,1,28,28,N,Miscellaneous,Cape Race,Visual,47.98333333,-47.65,1936,1936,March,3/20/36,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Small growler
IOT,1,29.01,29.01,N,Miscellaneous,Cape Race,Visual,47.58333333,-46.83333333,1936,1936,March,3/20/36,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Field ice and growlers extending ~7 miles SSW [position calculated; initial position of 40.50W repeated in HB 2430 which has to be too far east as other sightings are in 46 or 47W
IOT,0,29.02,29.02,N,Miscellaneous,Cape Race,Visual,47.48333333,-46.9,1936,1936,March,3/20/36,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Field ice and growlers extending ~7 miles SSW [position calculated; initial position of 40.50W repeated in HB 2430 which has to be too far east as other sightings are in 46 or 47W
IOT,1,31,31,N,Ship,Pontchartrain,Visual,46.81666667,-48.43333333,1936,1936,March,3/29/36,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP: 2 small growlers
IOT,1,33,33,N,Ship,Laponia,Visual,48.51666667,-49.83333333,1936,1936,March,3/29/36,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Growler and field ice
IOT,1,34,34,N,Ship,Pontchartrain,Visual,48.66666667,-50.3,1936,1936,April,4/1/36,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,35,34,Y,Ship,Dalcroy,Visual,48.43333333,-49.13333333,1936,1936,April,4/3/36,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Small growler
IOT,1,36.1,36.1,N,Ship,Tampa,Visual,49.25,-49.21666667,1936,1936,April,4/6/36,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP: 1 large and several small bergs. HB 2432 Apr 15: 4 bergs
IOT,1,36.2,36.2,N,Ship,Tampa,Visual,49.25,-49.21666667,1936,1936,April,4/6/36,,Small,,,,3,,,,,,,,,,,,,,,,,,IIP: 1 large and several small bergs. HB 2432 Apr 15: 4 bergs
