data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1625,1625,N,Ship,Katla,Visual,55.83333333,-38.46666667,1950,1950,January,1/6/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1626,1626,N,Ship,USCGC Mendota,Visual,56.53333333,-51.15,1950,1950,January,1/9/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1627,1627,N,Ship,USCGC McCulloch,Visual,54.58333333,-37.05,1950,1950,January,1/15/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1628,1628,N,Ship,USCGC McCulloch,Visual,54.61666667,-36.95,1950,1950,January,1/15/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1629,1629,N,Ship,USS Edisto,Visual,54.26666667,-56.66666667,1950,1950,January,1/26/50,,Small,,,,6,,,,,,,,,,,,,,,,,,
IOT,1,1630,1630,N,Ship,USCGC Humboldt,Visual,57.41666667,-36.43333333,1950,1950,February,2/5/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,11,11,N,Ship,Stockholm,Radar,48.3,-49.58333333,1950,1950,February,2/6/50,,Unidentified,,,,,,,,,1,,,,,,,,,,,,,Radar target probable berg in ice field
IOT,1,1631.01,1631.01,N,Ship,USCGC Humboldt,Visual,58.28333333,-38.13333333,1950,1950,February,2/6/50,,Berg,22,,,,,,,,,,,,,,,,,,,,,22 bergs and numerous growlers
IOT,0,1631.02,1631.02,N,Ship,USCGC Humboldt,Visual,57.13333333,-39.46666667,1950,1950,February,2/6/50,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,1,1631.11,1631.11,N,Ship,USCGC Humboldt,Visual,58.28333333,-38.13333333,1950,1950,February,2/6/50,,Growler,,x,,,,,,,,,,,,,,,,,,,,
IOT,0,1631.12,1631.12,N,Ship,USCGC Humboldt,Visual,57.13333333,-39.46666667,1950,1950,February,2/6/50,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,15.1,15.1,N,Ship,Danaholm,Visual,47.63333333,-48.06666667,1950,1950,February,2/8/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,15.2,15.2,N,Ship,Danaholm,Visual,47.63333333,-48.06666667,1950,1950,February,2/8/50,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,18,18,N,Ship,Beaverlake,Visual,46.61666667,-46.41666667,1950,1950,February,2/10/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,1632,1632,N,Ship,Hamina,Visual,54.33333333,-38.08333333,1950,1950,February,2/12/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,25,15,Y,Ship,Stockholm,Visual,46.91666667,-46.71666667,1950,1950,February,2/14/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,1633,1633,N,Miscellaneous,Ocean Station Vessel Bravo,Unknown,56.63333333,-50.66666667,1950,1950,February,2/14/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,1634,1634,N,Ship,St. Stephen,Visual,56.63333333,-50.66666667,1950,1950,February,2/15/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,1635,1635,N,Ship,St. Stephen,Visual,56.16666667,-51,1950,1950,February,2/16/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,28,28,N,Ship,Nova Scotia,Visual,46.7,-48.33333333,1950,1950,February,2/17/50,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,29,29, N,Ship,Asta,Visual,47.11666667,-51.1,1950,1950,February,2/17/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1636,1636,N,Ship,St. Stephen,Visual,52.2,-41.15,1950,1950,February,2/18/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1637,1637,N,Ship,Edvard Grieg,Visual,54.11666667,-43.15,1950,1950,February,2/18/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,1638,1638,N,Ship,Edvard Grieg,Visual,54.58333333,-42.38333333,1950,1950,February,2/18/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,1639,1639,N,Ship,Edvard Grieg,Visual,54.73333333,-41.48333333,1950,1950,February,2/18/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,1640,1640,N,Ship,Trollafoss,Visual,52.2,-41.81666667,1950,1950,February,2/18/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,31,31,N,Ship,Selma Thorden,Visual,47.8,-50.66666667,1950,1950,February,2/19/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,32,32,N,Ship,Selma Thorden,Visual,48.38333333,-50,1950,1950,February,2/19/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,33,33,N,Ship,Selma Thorden,Visual,48.41666667,-49.75,1950,1950,February,2/19/50,,Growler,,x,,,,,,,,,,,,,,,,,,,,Drift ice and growlers
IOT,1,35,35,N,Ship,Minnesota,Visual,45.78333333,-48.56666667,1950,1950,February,2/20/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,1641.1,1641.1,N,Ship,Ranenfjord,Visual,53.11666667,-39.83333333,1950,1950,February,2/20/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,1641.2,1641.2,N,Ship,Ranenfjord,Visual,53.11666667,-39.83333333,1950,1950,February,2/20/50,,Growler,,2,,,,,,,,,,,,,,,,,,,,
IOT,1,40,40,N,Aircraft,Ice Patrol,Visual,46.75,-49.41666667,1950,1950,February,2/22/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,41,41,N,Aircraft,Ice Patrol,Visual,47.5,-52.38333333,1950,1950,February,2/22/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,42,42,N,Aircraft,Ice Patrol,Visual,47.45,-52.38333333,1950,1950,February,2/22/50,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,44,44,N,Ship,Parthia,Visual,43.41666667,-49.61666667,1950,1950,February,2/23/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,47,44,Y,Ship,American Clipper,Visual,43.23333333,-49.06666667,1950,1950,February,2/24/50,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,52,52,N,Ship,St. Stephen,Visual,47.96666667,-46.8,1950,1950,February,2/26/50,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,53,53,N,Ship,St. Stephen,Visual,48.06666667,-46.91666667,1950,1950,February,2/26/50,,Growler,,1,,,,,,,,,,,,,,,,,,,,
