data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,843,843,N,Ship,Canadian Runner (SS),Visual,48.66666667,-47.06666667,1923,1923,January,1/3/23,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1743 Jan 31
IOT,1,844,844,N,Ship,Manchester Merchant (SS),Visual,48.6,-46.23333333,1923,1923,January,1/5/23,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1743 Jan 31
IOT,1,842,842,N,Ship,West Nosska (SS),Visual,48.25,-44.78333333,1923,1923,January,1/8/23,,Large,,,,,,1,,,,,122,E,30,E,,,,,,,,HB 1743 Jan 31: large calving berg ~100' high & 400' long
IOT,1,841.1,841.1,N,Ship,Shooters Island (SS),Visual,47.93333333,-44.8,1923,1923,January,1/9/23,,Very large,,,,,,,1,,,,,,,,,,,,,,,HB 1741 Jan 17: very large berg & 3 fair sized growlers
IOT,1,841.2,841.2,N,Ship,Shooters Island (SS),Visual,47.93333333,-44.8,1923,1923,January,1/9/23,,Growler,,3,,,,,,,,,,,,,,,,,,,,HB 1741 Jan 17: very large berg & 3 fair sized growlers
IOT,1,845,845,N,Ship,Bolingbroke (SS),Visual,47,-45.75,1923,1923,January,1/9/23,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1743 Jan 31
IOT,1,846,846,N,Ship,Empress of France (SS),Visual,47.03333333,-45.78333333,1923,1923,January,1/11/23,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1743 Jan 31. Perhaps same as #845
IOT,1,847,847,N,Ship,Lisgar County (SS),Visual,47.25,-52,1923,1923,January,1/18/23,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1744 Feb 7
IOT,1,848,848,N,Ship,Lisgar County (SS),Visual,48.5,-49.41666667,1923,1923,January,1/18/23,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 1744 Feb 7: small growler & packed ice
IOT,1,473.1,473.1,N,Ship,Tyrifjord (SS),Visual,46.75,-47.58333333,1923,1923,February,2/10/23,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1747 Feb 28: and large icefields as far as could be seen N & S.
IOT,1,473.2,473.2,N,Ship,Tyrifjord (SS),Visual,46.75,-47.58333333,1923,1923,February,2/10/23,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1753 Apr 11: and sveral growlers
IOT,1,474,474,N,Ship,Montcalm (CGS),Visual,45.33333333,-47.25,1923,1923,February,2/12/23,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1747 Feb 28
IOT,1,475,475,N,Ship,Nestlea (SS),Visual,46.1,-46.83333333,1923,1923,February,2/12/23,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1747 Feb 28
IOT,1,476,476,N,Ship,Itilia (SS),Visual,45.35,-46.21666667,1923,1923,February,2/12/23,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1747 Feb 28
IOT,1,477,477,N,Miscellaneous,Belle Isle Light,Visual,51.95,-55.35,1923,1923,February,2/12/23,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1747 Feb 28
IOT,1,485,485,N,Ship,Digby (SS),Visual,45.45,-46.45,1923,1923,February,2/14/23,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 1749 Mar 14
IOT,1,486,486,N,Ship,Digby (SS),Visual,45.28333333,-46.65,1923,1923,February,2/14/23,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1749 Mar 14
IOT,1,850.01,850.01,N,Ship,Norefjord (SS),Visual,50.33333333,-48.5,1923,1923,February,2/14/23,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1749 Mar 14: thick field ice with numerous bergs
IOT,0,850.02,850.02,N,Ship,Norefjord (SS),Visual,45,-47.66666667,1923,1923,February,2/16/23,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1749 Mar 14: thick field ice with numerous bergs
IOT,1,479.11,479.11,N,Ship,Manchester Corporation (SS),Visual,46.3,-46.91666667,1923,1923,February,2/17/23,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 1748 Mar 7: ice-fields with numerous outlying growlers and small bergs on both sides of course.
IOT,0,479.12,479.12,N,Ship,Manchester Corporation (SS),Visual,45.83333333,-47,1923,1923,February,2/17/23,,Small,,,,,,,,,,,,,,,,,,,,,,HB 1748 Mar 7: ice-fields with numerous outlying growlers and small bergs on both sides of course.
IOT,1,479.21,479.21,N,Ship,Manchester Corporation (SS),Visual,46.3,-46.91666667,1923,1923,February,2/17/23,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1748 Mar 7: ice-fields with numerous outlying growlers and small bergs on both sides of course.
IOT,0,479.22,479.22,N,Ship,Manchester Corporation (SS),Visual,45.83333333,-47,1923,1923,February,2/17/23,,Growler,,,,,,,,,,,,,,,,,,,,,,HB 1748 Mar 7: ice-fields with numerous outlying growlers and small bergs on both sides of course.
IOT,1,478,478,N,Miscellaneous,Belle Isle Light,Visual,51.95,-55.35,1923,1923,February,2/19/23,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1747 Feb 28
IOT,1,482,482,N,Miscellaneous,Belle Isle Light,Visual,51.95,-55.35,1923,1923,February,2/20/23,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1748 Mar 7: moving southward
IOT,1,480.1,480.1,N,Ship,Unknown,Visual,46,-46.5,1923,1923,February,2/21/23,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1748 Mar 7: large berg and field ice with several growlers
IOT,1,480.2,480.2,N,Ship,Unknown,Visual,46,-46.5,1923,1923,February,2/21/23,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1748 Mar 7: large berg and field ice with several growlers
IOT,1,483,483,N,Miscellaneous,Belle Isle Light,Visual,51.95,-55.35,1923,1923,February,2/21/23,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1748 Mar 7
IOT,1,487,487,N,Ship,Horda (SS),Visual,44.5,-47.91666667,1923,1923,February,2/21/23,,Large,,,,,,2,,,,,,,,,,,,,,,,HB 1749 Mar 14
IOT,1,488,488,N,Ship,Horda (SS),Visual,44.48333333,-48.1,1923,1923,February,2/21/23,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1749 Mar 14
IOT,1,489,489,N,Ship,Horda (SS),Visual,44.45,-48.65,1923,1923,February,2/21/23,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1749 Mar 14
IOT,1,446.01,446.01,N,Ship,Unknown,Visual,45.5,-49,1923,1923,February,2/23/23,,Berg,x,,,,,,,,,,,,,,,,,,,,,NYMR: Scattered bergs along E side of Banks to Flemish Cap.
IOT,0,446.02,446.02,N,Ship,Unknown,Visual,47,-44.5,1923,1923,February,2/23/23,,Berg,,,,,,,,,,,,,,,,,,,,,,NYMR: Scattered bergs along E side of Banks to Flemish Cap.
